year,city,country,avg_temp_city,avg_temp_global
1808,Damascus,Syria,14.91,7.63
1809,Damascus,Syria,17.04,7.08
1810,Damascus,Syria,17.09,6.92
1811,Damascus,Syria,17.12,6.86
1812,Damascus,Syria,17.07,7.05
1813,Damascus,Syria,17.62,7.74
1814,Damascus,Syria,17.68,7.59
1815,Damascus,Syria,17.42,7.24
1816,Damascus,Syria,16.97,6.94
1817,Damascus,Syria,17.15,6.98
1818,Damascus,Syria,17.99,7.83
1819,Damascus,Syria,17.50,7.37
1820,Damascus,Syria,17.67,7.62
1821,Damascus,Syria,17.77,8.09
1822,Damascus,Syria,17.66,8.19
1823,Damascus,Syria,17.96,7.72
1824,Damascus,Syria,18.75,8.55
1825,Damascus,Syria,18.09,8.39
1826,Damascus,Syria,18.01,8.36
1827,Damascus,Syria,18.88,8.81
1828,Damascus,Syria,18.08,8.17
1829,Damascus,Syria,18.05,7.94
1830,Damascus,Syria,18.36,8.52
1831,Damascus,Syria,17.66,7.64
1832,Damascus,Syria,17.08,7.45
1833,Damascus,Syria,17.93,8.01
1834,Damascus,Syria,17.79,8.15
1835,Damascus,Syria,17.33,7.39
1836,Damascus,Syria,17.77,7.70
1837,Damascus,Syria,17.46,7.38
1838,Damascus,Syria,17.26,7.51
1839,Damascus,Syria,17.53,7.63
1840,Damascus,Syria,17.57,7.80
1841,Damascus,Syria,18.05,7.69
1842,Damascus,Syria,18.01,8.02
1843,Damascus,Syria,17.95,8.17
1844,Damascus,Syria,17.81,7.65
1845,Damascus,Syria,18.02,7.85
1846,Damascus,Syria,18.69,8.55
1847,Damascus,Syria,18.22,8.09
1848,Damascus,Syria,18.12,7.98
1849,Damascus,Syria,18.14,7.98
1850,Damascus,Syria,17.56,7.90
1851,Damascus,Syria,18.46,8.18
1852,Damascus,Syria,18.24,8.10
1853,Damascus,Syria,18.75,8.04
1854,Damascus,Syria,17.79,8.21
1855,Damascus,Syria,18.21,8.11
1856,Damascus,Syria,17.71,8.00
1857,Damascus,Syria,17.38,7.76
1858,Damascus,Syria,18.03,8.10
1859,Damascus,Syria,18.20,8.25
1860,Damascus,Syria,18.59,7.96
1861,Damascus,Syria,17.03,7.85
1862,Damascus,Syria,17.00,7.56
1863,Damascus,Syria,17.55,8.11
1864,Damascus,Syria,18.32,7.98
1865,Damascus,Syria,18.66,8.18
1866,Damascus,Syria,18.48,8.29
1867,Damascus,Syria,18.49,8.44
1868,Damascus,Syria,18.02,8.25
1869,Damascus,Syria,18.65,8.43
1870,Damascus,Syria,18.37,8.20
1871,Damascus,Syria,17.60,8.12
1872,Damascus,Syria,18.38,8.19
1873,Damascus,Syria,18.73,8.35
1874,Damascus,Syria,17.92,8.43
1875,Damascus,Syria,16.97,7.86
1876,Damascus,Syria,18.46,8.08
1877,Damascus,Syria,18.87,8.54
1878,Damascus,Syria,18.76,8.83
1879,Damascus,Syria,19.05,8.17
1880,Damascus,Syria,17.82,8.12
1881,Damascus,Syria,18.42,8.27
1882,Damascus,Syria,17.66,8.13
1883,Damascus,Syria,18.15,7.98
1884,Damascus,Syria,17.67,7.77
1885,Damascus,Syria,18.56,7.92
1886,Damascus,Syria,17.89,7.95
1887,Damascus,Syria,18.48,7.91
1888,Damascus,Syria,18.40,8.09
1889,Damascus,Syria,18.59,8.32
1890,Damascus,Syria,18.40,7.97
1891,Damascus,Syria,18.34,8.02
1892,Damascus,Syria,18.60,8.07
1893,Damascus,Syria,17.91,8.06
1894,Damascus,Syria,17.55,8.16
1895,Damascus,Syria,17.99,8.15
1896,Damascus,Syria,18.18,8.21
1897,Damascus,Syria,17.53,8.29
1898,Damascus,Syria,18.11,8.18
1899,Damascus,Syria,18.26,8.40
1900,Damascus,Syria,18.62,8.50
1901,Damascus,Syria,19.08,8.54
1902,Damascus,Syria,18.70,8.30
1903,Damascus,Syria,17.93,8.22
1904,Damascus,Syria,17.92,8.09
1905,Damascus,Syria,17.91,8.23
1906,Damascus,Syria,18.19,8.38
1907,Damascus,Syria,17.52,7.95
1908,Damascus,Syria,17.66,8.19
1909,Damascus,Syria,18.72,8.18
1910,Damascus,Syria,17.81,8.22
1911,Damascus,Syria,17.41,8.18
1912,Damascus,Syria,18.09,8.17
1913,Damascus,Syria,17.65,8.30
1914,Damascus,Syria,17.80,8.59
1915,Damascus,Syria,18.46,8.59
1916,Damascus,Syria,18.68,8.23
1917,Damascus,Syria,18.52,8.02
1918,Damascus,Syria,18.11,8.13
1919,Damascus,Syria,18.44,8.38
1920,Damascus,Syria,17.67,8.36
1921,Damascus,Syria,17.74,8.57
1922,Damascus,Syria,18.64,8.41
1923,Damascus,Syria,18.76,8.42
1924,Damascus,Syria,18.57,8.51
1925,Damascus,Syria,18.52,8.53
1926,Damascus,Syria,18.52,8.73
1927,Damascus,Syria,18.73,8.52
1928,Damascus,Syria,18.94,8.63
1929,Damascus,Syria,18.44,8.24
1930,Damascus,Syria,18.98,8.63
1931,Damascus,Syria,18.68,8.72
1932,Damascus,Syria,18.56,8.71
1933,Damascus,Syria,18.05,8.34
1934,Damascus,Syria,18.69,8.63
1935,Damascus,Syria,19.14,8.52
1936,Damascus,Syria,18.93,8.55
1937,Damascus,Syria,19.13,8.70
1938,Damascus,Syria,18.26,8.86
1939,Damascus,Syria,18.95,8.76
1940,Damascus,Syria,18.79,8.76
1941,Damascus,Syria,19.06,8.77
1942,Damascus,Syria,18.64,8.73
1943,Damascus,Syria,18.26,8.76
1944,Damascus,Syria,18.47,8.85
1945,Damascus,Syria,18.13,8.58
1946,Damascus,Syria,18.75,8.68
1947,Damascus,Syria,19.44,8.80
1948,Damascus,Syria,18.00,8.75
1949,Damascus,Syria,17.70,8.59
1950,Damascus,Syria,18.50,8.37
1951,Damascus,Syria,18.95,8.63
1952,Damascus,Syria,19.06,8.64
1953,Damascus,Syria,17.95,8.87
1954,Damascus,Syria,18.81,8.56
1955,Damascus,Syria,19.35,8.63
1956,Damascus,Syria,18.53,8.28
1957,Damascus,Syria,18.58,8.73
1958,Damascus,Syria,19.04,8.77
1959,Damascus,Syria,17.99,8.73
1960,Damascus,Syria,19.59,8.58
1961,Damascus,Syria,18.41,8.80
1962,Damascus,Syria,19.52,8.75
1963,Damascus,Syria,19.33,8.86
1964,Damascus,Syria,18.05,8.41
1965,Damascus,Syria,18.69,8.53
1966,Damascus,Syria,19.26,8.60
1967,Damascus,Syria,17.80,8.70
1968,Damascus,Syria,18.78,8.52
1969,Damascus,Syria,19.01,8.60
1970,Damascus,Syria,18.88,8.70
1971,Damascus,Syria,18.35,8.60
1972,Damascus,Syria,18.18,8.50
1973,Damascus,Syria,18.52,8.95
1974,Damascus,Syria,18.45,8.47
1975,Damascus,Syria,18.39,8.74
1976,Damascus,Syria,18.24,8.35
1977,Damascus,Syria,18.61,8.85
1978,Damascus,Syria,18.90,8.69
1979,Damascus,Syria,19.33,8.73
1980,Damascus,Syria,18.65,8.98
1981,Damascus,Syria,18.80,9.17
1982,Damascus,Syria,18.12,8.64
1983,Damascus,Syria,17.99,9.03
1984,Damascus,Syria,18.49,8.69
1985,Damascus,Syria,18.99,8.66
1986,Damascus,Syria,18.73,8.83
1987,Damascus,Syria,18.64,8.99
1988,Damascus,Syria,18.77,9.20
1989,Damascus,Syria,18.73,8.92
1990,Damascus,Syria,18.90,9.23
1991,Damascus,Syria,18.83,9.18
1992,Damascus,Syria,17.73,8.84
1993,Damascus,Syria,18.72,8.87
1994,Damascus,Syria,19.34,9.04
1995,Damascus,Syria,18.79,9.35
1996,Damascus,Syria,19.23,9.04
1997,Damascus,Syria,18.55,9.20
1998,Damascus,Syria,19.73,9.52
1999,Damascus,Syria,19.73,9.29
2000,Damascus,Syria,19.09,9.20
2001,Damascus,Syria,19.75,9.41
2002,Damascus,Syria,19.47,9.57
2003,Damascus,Syria,19.30,9.53
2004,Damascus,Syria,19.22,9.32
2005,Damascus,Syria,19.15,9.70
2006,Damascus,Syria,19.07,9.53
2007,Damascus,Syria,19.47,9.73
2008,Damascus,Syria,19.75,9.43
2009,Damascus,Syria,19.60,9.51
2010,Damascus,Syria,21.07,9.70
2011,Damascus,Syria,18.95,9.52
2012,Damascus,Syria,19.72,9.51
2013,Damascus,Syria,19.83,9.61
